symbol,sector_name
AAV,Xây dựng và Vật liệu
ADC,Truyền thông
ALT,Hàng cá nhân & Gia dụng
AMC,Tài nguyên Cơ bản
AME,Hàng & Dịch vụ Công nghiệp
AMV,Y tế
API,Dịch vụ tài chính
APS,Dịch vụ tài chính
ARM,Hàng & Dịch vụ Công nghiệp
ATS,Thực phẩm và đồ uống
BAB,Ngân hàng
BAX,Bất động sản
BBS,Hàng & Dịch vụ Công nghiệp
BCC,Xây dựng và Vật liệu
BCF,Thực phẩm và đồ uống
BDB,Truyền thông
BED,Truyền thông
BKC,Tài nguyên Cơ bản
BNA,Thực phẩm và đồ uống
BPC,Hóa chất
BSC,Dịch vụ tài chính
BST,Hàng & Dịch vụ Công nghiệp
BTS,Xây dựng và Vật liệu
BTW,"Điện, nước & xăng dầu khí đốt"
BVS,Dịch vụ tài chính
BXH,Hàng & Dịch vụ Công nghiệp
C69,Xây dựng và Vật liệu
CAG,Hàng & Dịch vụ Công nghiệp
CAN,Thực phẩm và đồ uống
CAP,Thực phẩm và đồ uống
CAR,Thực phẩm và đồ uống
CCR,Hàng & Dịch vụ Công nghiệp
CDN,Hàng & Dịch vụ Công nghiệp
CEO,Bất động sản
CET,Hóa chất
CIA,Hàng & Dịch vụ Công nghiệp
CJC,Hàng & Dịch vụ Công nghiệp
CKV,Hàng cá nhân & Gia dụng
CLH,Xây dựng và Vật liệu
CLM,Tài nguyên Cơ bản
CMC,Hàng & Dịch vụ Công nghiệp
CMS,Xây dựng và Vật liệu
CPC,Hàng & Dịch vụ Công nghiệp
CSC,Bất động sản
CST,Tài nguyên Cơ bản
CTB,Ô tô và phụ tùng
CTP,Thực phẩm và đồ uống
CTT,Xây dựng và Vật liệu
CVN,Dịch vụ tài chính
CX8,Xây dựng và Vật liệu
D11,Bất động sản
DAD,Truyền thông
DAE,Truyền thông
DC2,Xây dựng và Vật liệu
DDG,Hàng & Dịch vụ Công nghiệp
DHP,Tài nguyên Cơ bản
DHT,Y tế
DIH,Bất động sản
DL1,Dịch vụ tài chính
DNC,Xây dựng và Vật liệu
DNP,Xây dựng và Vật liệu
DP3,Y tế
DS3,Du lịch và Giải trí
DST,Dịch vụ tài chính
DTD,Bất động sản
DTG,Thực phẩm và đồ uống
DTK,"Điện, nước & xăng dầu khí đốt"
DVM,Y tế
DXP,Hàng & Dịch vụ Công nghiệp
EBS,Truyền thông
ECI,Truyền thông
EID,Truyền thông
EVS,Dịch vụ tài chính
FID,Dịch vụ tài chính
GDW,"Điện, nước & xăng dầu khí đốt"
GIC,Hàng & Dịch vụ Công nghiệp
GKM,Xây dựng và Vật liệu
GLT,Công nghệ Thông tin
GMA,Hàng & Dịch vụ Công nghiệp
GMX,Xây dựng và Vật liệu
HAD,Thực phẩm và đồ uống
HAT,Thực phẩm và đồ uống
HBS,Dịch vụ tài chính
HCC,Xây dựng và Vật liệu
HCT,Hàng & Dịch vụ Công nghiệp
HDA,Hóa chất
HEV,Truyền thông
HGM,Tài nguyên Cơ bản
HHC,Thực phẩm và đồ uống
HJS,"Điện, nước & xăng dầu khí đốt"
HKT,Hàng & Dịch vụ Công nghiệp
HLC,Tài nguyên Cơ bản
HLD,Bất động sản
HMH,Hàng & Dịch vụ Công nghiệp
HMR,Hàng & Dịch vụ Công nghiệp
HOM,Xây dựng và Vật liệu
HTC,Hàng & Dịch vụ Công nghiệp
HUT,Xây dựng và Vật liệu
HVT,Hóa chất
ICG,Bất động sản
IDC,Bất động sản
IDJ,Bất động sản
IDV,Bất động sản
INC,Truyền thông
INN,Hàng & Dịch vụ Công nghiệp
IPA,Dịch vụ tài chính
ITQ,Tài nguyên Cơ bản
IVS,Dịch vụ tài chính
KDM,Xây dựng và Vật liệu
KHS,Tài nguyên Cơ bản
KKC,Tài nguyên Cơ bản
KMT,Bán lẻ
KSD,Hàng cá nhân & Gia dụng
KSF,Dịch vụ tài chính
KSQ,Tài nguyên Cơ bản
KST,Hàng & Dịch vụ Công nghiệp
KSV,Tài nguyên Cơ bản
KTS,Thực phẩm và đồ uống
L14,Bất động sản
L18,Xây dựng và Vật liệu
L40,Xây dựng và Vật liệu
LAS,Hóa chất
LBE,Truyền thông
LCD,Hàng & Dịch vụ Công nghiệp
LDP,Y tế
LHC,Xây dựng và Vật liệu
LIG,Xây dựng và Vật liệu
MAC,Hàng & Dịch vụ Công nghiệp
MAS,Hàng & Dịch vụ Công nghiệp
MBG,Hàng & Dịch vụ Công nghiệp
MBS,Dịch vụ tài chính
MCC,Tài nguyên Cơ bản
MCF,Thực phẩm và đồ uống
MCO,Xây dựng và Vật liệu
MDC,Tài nguyên Cơ bản
MED,Y tế
MEL,Tài nguyên Cơ bản
MIC,Tài nguyên Cơ bản
MKV,Y tế
MST,Xây dựng và Vật liệu
MVB,Tài nguyên Cơ bản
NAG,Hàng cá nhân & Gia dụng
NAP,Thực phẩm và đồ uống
NBC,Tài nguyên Cơ bản
NBP,"Điện, nước & xăng dầu khí đốt"
NBW,"Điện, nước & xăng dầu khí đốt"
NDN,Bất động sản
NDX,Bất động sản
NET,Hàng cá nhân & Gia dụng
NFC,Hóa chất
NHC,Xây dựng và Vật liệu
NRC,Bất động sản
NSH,Tài nguyên Cơ bản
NST,Thực phẩm và đồ uống
NTH,"Điện, nước & xăng dầu khí đốt"
NTP,Xây dựng và Vật liệu
NVB,Ngân hàng
OCH,Du lịch và Giải trí
ONE,Công nghệ Thông tin
PBP,Hàng & Dịch vụ Công nghiệp
PCE,Hóa chất
PCG,"Điện, nước & xăng dầu khí đốt"
PCH,Xây dựng và Vật liệu
PCT,Hàng & Dịch vụ Công nghiệp
PDB,Xây dựng và Vật liệu
PEN,Hàng & Dịch vụ Công nghiệp
PGN,Xây dựng và Vật liệu
PGS,"Điện, nước & xăng dầu khí đốt"
PGT,Hàng & Dịch vụ Công nghiệp
PHN,"Điện, nước & xăng dầu khí đốt"
PIA,"Điện, nước & xăng dầu khí đốt"
PIC,"Điện, nước & xăng dầu khí đốt"
PJC,Hàng & Dịch vụ Công nghiệp
PLC,Hóa chất
PMB,Hóa chất
PMC,Y tế
PMP,Hóa chất
PMS,Hàng & Dịch vụ Công nghiệp
POT,Công nghệ Thông tin
PPE,Dịch vụ tài chính
PPP,Y tế
PPS,Hàng & Dịch vụ Công nghiệp
PPT,Hàng & Dịch vụ Công nghiệp
PPY,"Điện, nước & xăng dầu khí đốt"
PRC,Hàng & Dịch vụ Công nghiệp
PRE,Bảo hiểm
PSC,Hàng & Dịch vụ Công nghiệp
PSD,Hàng & Dịch vụ Công nghiệp
PSE,Hóa chất
PSI,Dịch vụ tài chính
PSW,Hóa chất
PTD,Hàng cá nhân & Gia dụng
PTI,Bảo hiểm
PTS,Hàng & Dịch vụ Công nghiệp
PTX,Hàng & Dịch vụ Công nghiệp
PV2,Dịch vụ tài chính
PVB,Dầu khí
PVC,Dầu khí
PVG,"Điện, nước & xăng dầu khí đốt"
PVI,Bảo hiểm
PVS,Dầu khí
QHD,Xây dựng và Vật liệu
QST,Bán lẻ
QTC,Xây dựng và Vật liệu
RCL,Xây dựng và Vật liệu
S55,Xây dựng và Vật liệu
S99,Xây dựng và Vật liệu
SAF,Thực phẩm và đồ uống
SCG,Xây dựng và Vật liệu
SCI,Xây dựng và Vật liệu
SD5,Xây dựng và Vật liệu
SD9,Xây dựng và Vật liệu
SDA,Hàng & Dịch vụ Công nghiệp
SDC,Xây dựng và Vật liệu
SDG,"Điện, nước & xăng dầu khí đốt"
SDN,Hóa chất
SDU,Bất động sản
SEB,"Điện, nước & xăng dầu khí đốt"
SED,Truyền thông
SFN,Hóa chất
SGC,Bán lẻ
SGD,Truyền thông
SGH,Du lịch và Giải trí
SHE,Hàng cá nhân & Gia dụng
SHN,Hàng & Dịch vụ Công nghiệp
SHS,Dịch vụ tài chính
